first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Cuisine et Maison,Chauffage et climatisation,"Smart-Planet Lot de 4 déshumidificateurs avec 8 recharges de granulés de 400 g - Durables - Pour pièces à forte humidité - Sans électricité, KO-760000020-4ER",https://www.amazon.fr/Smart-Planet-d%C3%A9shumidificateurs-avec-recharges-granul%C3%A9s/dp/B0C9R2BTPP/ref=zg_bs_g_3332669031_d_sccl_30/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81eOGrkyl7L._AC_UL900_SR900,600_.jpg",26.99,226,4.3
Cuisine et Maison,Chauffage et climatisation,"RUBSON absorbeur d'humidité ""Basic"" pour pièce de 20 m² - contient une recharge",https://www.amazon.fr/RUBSON-1852173-Absorbeur-Humidit%C3%A9-Classic/dp/B00JAAU0PG/ref=zg_bs_g_3332669031_d_sccl_31/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61oL8GTR8JL._AC_UL900_SR900,600_.jpg",12.69,1425,4.3
Cuisine et Maison,Chauffage et climatisation,"Rubson AERO Déshumidificateur rechargeable à 360° (1 appareil et 1 tablette de 450 g), absorbe l'humidité, prévient la condensation et les mauvaises odeurs, anti-humidité absorbant",https://www.amazon.fr/Rubson-D%C3%A9shumidificateur-rechargeable-condensation-anti-humidit%C3%A9/dp/B0BS1QGN4Y/ref=zg_bs_g_3332669031_d_sccl_32/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61wHP-yWZJL._AC_UL900_SR900,600_.jpg",16.25,476,4.4
Cuisine et Maison,Chauffage et climatisation,"Cecotec Radiateur mural en céramique Ready Warm 5350 Power Box Ceramic Connected avec 2000W, écran LED et contrôle Wi-Fi (5200 Box Ceramic)",https://www.amazon.fr/Cecotec-Radiateur-c%C3%A9ramique-Connected-contr%C3%B4le/dp/B07JJSVFK9/ref=zg_bs_g_3332669031_d_sccl_33/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51uyleiPw4L._AC_UL900_SR900,600_.jpg",42.99,3572,4.0
Cuisine et Maison,Chauffage et climatisation,"COMFEE' Déshumidificateur Compacte, Absorbe jusqu'à 12L/jour, Deshumidificateur d air avec Roulettes et Poignée, Minuterie 24H, Réservoir 2L, Pour pièce de 20-35㎡, MDDN-12DEN7",https://www.amazon.fr/Comfee-D%C3%A9shumidificateur-MDDN-12DEN7-Taille-pi%C3%A8ce/dp/B085ZLYV2C/ref=zg_bs_g_3332669031_d_sccl_34/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/414yi5Q4LOL._AC_UL900_SR900,600_.jpg",154.99,6846,4.3
Cuisine et Maison,Chauffage et climatisation,"Homvana Humidificateur d'Air bébé, 3.6 L Cool Mist Top-Fill, 16dB Silencieux (SilentSpray), 34H Durable Humidificateu Chambre, Plante, BPA Free Avec Plusieur Modes d'humidité, 7 Color Light, Diffuseur",https://www.amazon.fr/Humidificateur-pour-chambre-coucher-Homvana/dp/B09JT679BX/ref=zg_bs_g_3332669031_d_sccl_35/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61KcJqca6nL._AC_UL900_SR900,600_.jpg",39.99,4156,4.4
Cuisine et Maison,Chauffage et climatisation,"Pro Breeze Déshumidificateur compresseur Intelligent 20L/Jour avec réservoir d'eau 4L, séchage du Linge et capteur d'humidité Auto - Absorbeur d’humidité, Contre Les moisissures et Condensation",https://www.amazon.fr/Pro-Breeze-D%C3%A9shumidificateur-compresseur-Intelligent/dp/B0CZ114G68/ref=zg_bs_g_3332669031_d_sccl_36/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51kidSTmKSL._AC_UL900_SR900,600_.jpg",229.99,3011,4.5
Cuisine et Maison,Chauffage et climatisation,"Tefal Cave à Fromages, Plastique, Grise Anthracite, 1 Unité (Lot de 1)",https://www.amazon.fr/Tefal-J3020414-Cave-Fromages-Plastique/dp/B074WBYV9Q/ref=zg_bs_g_3332669031_d_sccl_37/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71JQH5-SAqL._AC_UL900_SR900,600_.jpg",18.99,1745,4.6
Cuisine et Maison,Chauffage et climatisation,"CLEVAST Déshumidificateurs d'armoire 10x 230g, Absorbeur d'humidité, Débarrassez-vous de l'humidité pour placard, les Sous-sols, Placards, Buanderies",https://www.amazon.fr/CLEVAST-Absorbeur-dhumidit%C3%A9-d%C3%A9shumidification-absorbeur/dp/B09S3QKZ82/ref=zg_bs_g_3332669031_d_sccl_38/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81ws46HUnrL._AC_UL900_SR900,600_.jpg",22.2,1479,4.6
Cuisine et Maison,Chauffage et climatisation,"AquaFloow 5x210G Déshumidificateur suspendu, Absorbeur d'humidité pour placard, Déshumidificateur suspendu Anti-humidité, Sac déshydratant résistant à l'humidité",https://www.amazon.fr/AquaFloow-D%C3%A9shumidificateur-Absorbeur-Anti-humidit%C3%A9-d%C3%A9shydratant/dp/B0CSFNG8Q4/ref=zg_bs_g_3332669031_d_sccl_1/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61MqTxV-CsL._AC_UL900_SR900,600_.jpg",12.99,13,4.1
Cuisine et Maison,Chauffage et climatisation,"Amazon Basics Radiateur soufflant et pivotant en céramique avec thermostat réglable 1500 W, Noir",https://www.amazon.fr/AmazonBasics-Radiateur-soufflant-c%C3%A9ramique-thermostat/dp/B07D3FH46K/ref=zg_bs_g_3332669031_d_sccl_2/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91oiPMSL-vL._AC_UL900_SR900,600_.jpg",37.07,1144,4.3
Cuisine et Maison,Chauffage et climatisation,"LEVOIT Purificateur d'Air Chambre Silencieux, Élimine 99.97% des Allergènes, Compatible avec APP Alexa, Programmable avec Veilleuse, Jusqu'à 35m², Air Purifier pour Poussières Animaux Odeurs Core 200S",https://www.amazon.fr/LEVOIT-Purificateur-Intelligent-Core-200S/dp/B08FJ678YK/ref=zg_bs_g_3332669031_d_sccl_3/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61-IaBNfDJL._AC_UL900_SR900,600_.jpg",99.99,26632,4.5
Cuisine et Maison,Chauffage et climatisation,"Rubson Sensation Pure Recharges universelles pour absorbeur d'humidité parfum neutre (2 x 300 g) – Recharges 3 en 1 anti-humidité, anti-odeur et sensation de fraîcheur, Bleu",https://www.amazon.fr/RUBSON-Recharges-absorbeur-dhumidit%C3%A9-Sensation/dp/B005WXDDHM/ref=zg_bs_g_3332669031_d_sccl_4/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61C8sC5GnlL._AC_UL900_SR900,600_.jpg",10.79,1217,4.5
