first_cat,second_cat,titles,product_link,pictures,prices,nb_votes,votes
Jeux vidéo,Réalité virtuelle,"Baomaeyea VR Gunstock pour Meta Quest 2, Crosse de Pistolet Compatible avec Les poignées de contrôle VR Meta Quest2 pour améliorer la stabilité et Le contrôle Adaptateur de Crosse de Fusil magnétique",https://www.amazon.fr/Baomaeyea-Compatible-am%C3%A9liorer-Adaptateur-magn%C3%A9tique/dp/B0CZHS2KSP/ref=zg_bs_g_22473144031_d_sccl_18/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51RrbuB3cJL._AC_UL900_SR900,600_.jpg",35.99,0,5.0
Jeux vidéo,Réalité virtuelle,"RongZy 2 Pièces Analogique 3D Joystick pour Oculus Quest 2, Remplacement du Joystick pour Quest 2 Controller Repair Parts, Performances Stables(Gauche/Droite)",https://www.amazon.fr/RongZy-Analogique-Quest-Remplacement-Performances/dp/B0C42SKBZ7/ref=zg_bs_g_22473144031_d_sccl_19/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71WkA3Hn-zL._AC_UL900_SR900,600_.jpg",8.55,7,3.5
Jeux vidéo,Réalité virtuelle,"6 Pièces VR Protection Lentille + 1 Cache Objectif Protection pour Meta Quest 3, Film Trempé, Anti-Rayures, Anti-poussière, Lavable D'écran Accessoires pour Protection Camera Quest 3",https://www.amazon.fr/Meta-Quest-Anti-Rayures-Anti-poussi%C3%A8re-Accessoires/dp/B0CYL5SK5Y/ref=zg_bs_g_22473144031_d_sccl_20/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61LehzozqFL._AC_UL900_SR900,600_.jpg",8.99,2,5.0
Jeux vidéo,Réalité virtuelle,CABLETEX Câble Link pour Meta Quest 3 et pour Oculus Quest 2 - Câble USB 3.2 haute vitesse vers USB C pour réalité virtuelle Gaming VR,https://www.amazon.fr/CABLETEX-C%C3%A2ble-Gaming-Oculus-Quest/dp/B0BLSQSFZ7/ref=zg_bs_g_22473144031_d_sccl_21/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61+9qTXrZCL._AC_UL900_SR900,600_.jpg",39.99,876,4.3
Jeux vidéo,Réalité virtuelle,"FASTSNAIL LED Support Compatible avec Playstation VR2, Chargeur Manette pour PS VR2 Headset & Sense Controllers, Accessoires pour PS5 VR",https://www.amazon.fr/FASTSNAIL-rechargement-Playstation-Controllers-Accessoires/dp/B0BRVB427J/ref=zg_bs_g_22473144031_d_sccl_22/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71vMrapTb6L._AC_UL900_SR900,600_.jpg",38.99,388,4.4
Jeux vidéo,Réalité virtuelle,"Lamtoq étui de Protection de Voyage pour Quest 3, EVA Housse de Voyage Rigide pour Meta Quest 3/Oculus Quest 2/Quest Pro/VR Étui de Transport Rigide Compatible avec Quest 3 avec Sangle Réglable",https://www.amazon.fr/Lamtoq-Protection-Transport-Compatible-R%C3%A9glable/dp/B0CRL6RSZT/ref=zg_bs_g_22473144031_d_sccl_23/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/8162bLj450L._AC_UL900_SR900,600_.jpg",21.99,34,4.0
Jeux vidéo,Réalité virtuelle,Samsung USB TYPEC to 3.5MM Jack Adapter Designed for,https://www.amazon.fr/Samsung-TYPEC-3-5MM-Adapter-Designed/dp/B0CBNNKH5P/ref=zg_bs_g_22473144031_d_sccl_24/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/317yhfdJc4L._AC_UL900_SR900,600_.jpg",5.95,9,3.6
Jeux vidéo,Réalité virtuelle,"KIWI design Câble Link 5M Compatible avec Quest 3 Accessoires, Quest 2/Pro/Pico 4 PC Steam VR, USB 3.0 Câble de Liaison avec 5Gbps Super Rapide (Noir)",https://www.amazon.fr/KIWI-design-Compatible-Accessoires-Liaison/dp/B0D3QFMJHY/ref=zg_bs_g_22473144031_d_sccl_25/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71zJXO-yy9L._AC_UL900_SR900,600_.jpg",22.99,531,4.5
Jeux vidéo,Réalité virtuelle,"AMAZEAR Étui Rigide pour Apple Vision Pro, Parfait pour Ranger la Vision Pro et la Batterie à la Maison ou en Voyage, Grand étui étanche pour VR Apple, kit d'accessoires Premium pour Apple Vision Pro",https://www.amazon.fr/AMAZEAR-Parfait-Batterie-%C3%A9tanche-daccessoires/dp/B0CW383SZD/ref=zg_bs_g_22473144031_d_sccl_26/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71H0tLVsdiL._AC_UL900_SR900,600_.jpg",89.99,59,4.7
Jeux vidéo,Réalité virtuelle,"Digicharge VR Cache Objectif Protection Lentille Couvre pour Meta Quest 3, Quest 2, Oculus Quest, Rift S, Valve Index, Pico 4 et HP Reverb G2 (Classic)",https://www.amazon.fr/Digicharge-Objectif-Protection-Compatible-Couvre-Objectif/dp/B0BN1X4138/ref=zg_bs_g_22473144031_d_sccl_27/259-2985209-3116263?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61RqOb5BPcL._AC_UL900_SR900,600_.jpg",9.75,307,4.4
